relationship_id	Interpro_Acc	Interpro_Name	Interpro_Short_Name	Interpro_Type	DGIDB_Human_Readable	Uniprot_Acc	Uniprot_Id	Uniprot_Protein_Name	Uniprot_Gene_Name	Uniprot_Evidence	Uniprot_Status	Entrez_Id	Ensembl_Id
P11388_IPR003594	IPR003594	ATPase-like, ATP-binding domain	ATPase-like_ATP-bd	Domain	N/A	P11388	TOP2A_HUMAN	DNA topoisomerase 2-alpha	TOP2A	1: Evidence at protein level	Swiss-Prot	7153	ENSG00000131747
P59826_IPR001124	IPR001124	Lipid-binding serum glycoprotein, C-terminal	Lipid-bd_serum_glycop_C	Domain	N/A	P59826	BPIB3_HUMAN	BPI fold-containing family B member 3	BPIFB3	2: Evidence at transcript level	Swiss-Prot	359710	ENSG00000186190
P21453_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P21453	S1PR1_HUMAN	Sphingosine 1-phosphate receptor 1	S1PR1	1: Evidence at protein level	Swiss-Prot	1901	ENSG00000170989
Q70Z44_IPR006201	IPR006201	Neurotransmitter-gated ion-channel	Neur_channel	Family	Ion Channel	Q70Z44	5HT3D_HUMAN	5-hydroxytryptamine receptor 3D	HTR3D	1: Evidence at protein level	Swiss-Prot	200909	ENSG00000186090
Q92804_IPR001876	IPR001876	Zinc finger, RanBP2-type	Znf_RanBP2	Domain	N/A	Q92804	RBP56_HUMAN	TATA-binding protein-associated factor 2N	TAF15	1: Evidence at protein level	Swiss-Prot	8148	ENSG00000172660
P20839_IPR001093	IPR001093	IMP dehydrogenase/GMP reductase	IMP_DH_GMPRt	Domain	N/A	P20839	IMDH1_HUMAN	Inosine-5'-monophosphate dehydrogenase 1	IMPDH1	1: Evidence at protein level	Swiss-Prot	3614	ENSG00000106348
P08173_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P08173	ACM4_HUMAN	Muscarinic acetylcholine receptor M4	CHRM4	1: Evidence at protein level	Swiss-Prot	1132	ENSG00000180720
P10599_IPR013766	IPR013766	Thioredoxin domain	Thioredoxin_domain	Domain	Thioredoxin	P10599	THIO_HUMAN	Thioredoxin	TXN	1: Evidence at protein level	Swiss-Prot	7295	ENSG00000136810
P30536_IPR004307	IPR004307	TspO/MBR-related protein	TspO_MBR	Family	N/A	P30536	TSPOA_HUMAN	Translocator protein	TSPO	1: Evidence at protein level	Swiss-Prot	706	ENSG00000100300
O15123_IPR002181	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular	Fibrinogen_a/b/g_C	Domain	Fibrinogen	O15123	ANGP2_HUMAN	Angiopoietin-2	ANGPT2	1: Evidence at protein level	Swiss-Prot	285	ENSG00000091879
Q9Y5B9_IPR000994	IPR000994	Peptidase M24, structural domain	Pept_M24_structural-domain	Domain	Protease	Q9Y5B9	SP16H_HUMAN	FACT complex subunit SPT16	SUPT16H	1: Evidence at protein level	Swiss-Prot	11198	ENSG00000092201
P47897_IPR001412	IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	aa-tRNA-synth_I_CS	Conserved_site	N/A	P47897	SYQ_HUMAN	Glutamine--tRNA ligase	QARS	1: Evidence at protein level	Swiss-Prot	5859	ENSG00000172053
O75715_IPR000889	IPR000889	Glutathione peroxidase	Glutathione_peroxidase	Family	N/A	O75715	GPX5_HUMAN	Epididymal secretory glutathione peroxidase	GPX5	1: Evidence at protein level	Swiss-Prot	2880	ENSG00000224586
Q8NH92_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NH92	OR1S1_HUMAN	Olfactory receptor 1S1	OR1S1	2: Evidence at transcript level	Swiss-Prot	219959	ENSG00000172774
Q9BZJ3_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	Q9BZJ3	TRYD_HUMAN	Tryptase delta	TPSD1	1: Evidence at protein level	Swiss-Prot	23430	ENSG00000095917
Q16620_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	Q16620	NTRK2_HUMAN	BDNF/NT-3 growth factors receptor	NTRK2	1: Evidence at protein level	Swiss-Prot	4915	ENSG00000148053
Q86UX6_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q86UX6	ST32C_HUMAN	Serine/threonine-protein kinase 32C	STK32C	1: Evidence at protein level	Swiss-Prot	282974	ENSG00000165752
P21817_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	P21817	RYR1_HUMAN	Ryanodine receptor 1	RYR1	1: Evidence at protein level	Swiss-Prot	6261	ENSG00000196218
Q6ZN80_IPR000322	IPR000322	Glycoside hydrolase, family 31	Glyco_hydro_31	Family	N/A	Q6ZN80	MGAL1_HUMAN	Putative maltase-glucoamylase-like protein FLJ16351	N/A	2: Evidence at transcript level	Swiss-Prot	N/A	N/A
Q8NGF7_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGF7	OR5BH_HUMAN	Olfactory receptor 5B17	OR5B17	2: Evidence at transcript level	Swiss-Prot	219965	ENSG00000197786
Q96LJ7_IPR002198	IPR002198	Short-chain dehydrogenase/reductase SDR	DH_sc/Rdtase_SDR	Family	Short Chain Dehydrogenase/Reductase	Q96LJ7	DHRS1_HUMAN	Dehydrogenase/reductase SDR family member 1	DHRS1	1: Evidence at protein level	Swiss-Prot	115817	ENSG00000157379
Q13555_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q13555	KCC2G_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit gamma	CAMK2G	1: Evidence at protein level	Swiss-Prot	818	ENSG00000148660
O94788_IPR015590	IPR015590	Aldehyde dehydrogenase domain	Aldehyde_DH_dom	Domain	N/A	O94788	AL1A2_HUMAN	Retinal dehydrogenase 2	ALDH1A2	1: Evidence at protein level	Swiss-Prot	8854	ENSG00000128918
Q8TDU9_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8TDU9	RL3R2_HUMAN	Relaxin-3 receptor 2	RXFP4	1: Evidence at protein level	Swiss-Prot	339403	ENSG00000173080
P04150_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	P04150	GCR_HUMAN	Glucocorticoid receptor	NR3C1	1: Evidence at protein level	Swiss-Prot	2908	ENSG00000113580
C9J1S8_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	C9J1S8	T49L1_HUMAN	Tripartite motif-containing protein 49-like protein 1	TRIM49L1	2: Evidence at transcript level	Swiss-Prot	100131392; 399939; 729384	N/A
Q16099_IPR001320	IPR001320	Ionotropic glutamate receptor	Iontro_glu_rcpt	Domain	N/A	Q16099	GRIK4_HUMAN	Glutamate receptor, ionotropic kainate 4	GRIK4	2: Evidence at transcript level	Swiss-Prot	2900	ENSG00000149403
Q96P69_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q96P69	GPR78_HUMAN	G-protein coupled receptor 78	GPR78	1: Evidence at protein level	Swiss-Prot	27201	ENSG00000155269
A6NM76_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	A6NM76	O6C76_HUMAN	Olfactory receptor 6C76	OR6C76	2: Evidence at transcript level	Swiss-Prot	390326	ENSG00000185821
Q8NGH7_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGH7	O52L1_HUMAN	Olfactory receptor 52L1	OR52L1	2: Evidence at transcript level	Swiss-Prot	338751	ENSG00000183313
P04181_IPR005814	IPR005814	Aminotransferase class-III	Aminotrans_3	Family	N/A	P04181	OAT_HUMAN	Ornithine aminotransferase, hepatic form	OAT	1: Evidence at protein level	Swiss-Prot	4942	ENSG00000065154
Q02153_IPR001054	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase	A/G_cyclase	Domain	N/A	Q02153	GCYB1_HUMAN	Guanylate cyclase soluble subunit beta-1	GUCY1B3	1: Evidence at protein level	Swiss-Prot	2983	ENSG00000061918
Q6U736_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q6U736	OPN5_HUMAN	Opsin-5	OPN5	1: Evidence at protein level	Swiss-Prot	221391	ENSG00000124818
P51817_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	P51817	PRKX_HUMAN	cAMP-dependent protein kinase catalytic subunit PRKX	PRKX	1: Evidence at protein level	Swiss-Prot	5613	ENSG00000183943
Q16512_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q16512	PKN1_HUMAN	Serine/threonine-protein kinase N1	PKN1	1: Evidence at protein level	Swiss-Prot	5585	ENSG00000123143
