gene_stable_id	display_id	description	HumanReadableName
ENSG00000005001	PRSS22	Brain-specific serine protease 4 precursor (EC 3.4.21.-) (BSSP-4) (SP001LA). [Source:Uniprot/SWISSPROT;Acc:Q9GZN4]	RussLampel
ENSG00000075303	NP_061331.2	mitochondrial carrier family protein [Source:RefSeq_peptide;Acc:NP_061331]	RussLampel
ENSG00000036828	CASR	Extracellular calcium-sensing receptor precursor (CaSR) (Parathyroid Cell calcium-sensing receptor). [Source:Uniprot/SWISSPROT;Acc:P41180]	RussLampel
ENSG00000120332	TNN	Tenascin-N precursor (TN-N). [Source:Uniprot/SWISSPROT;Acc:Q9UQP3]	RussLampel
ENSG00000185403	N/A	N/A	RussLampel
ENSG00000164082	GRM2	Metabotropic glutamate receptor 2 precursor (mGluR2). [Source:Uniprot/SWISSPROT;Acc:Q14416]	RussLampel
ENSG00000100652	SLC10A1	Sodium/bile acid cotransporter (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/taurocholate cotransporting polypeptide). [Source:Uniprot/SWISSPROT;Acc:Q14973]	RussLampel
ENSG00000169967	MAP3K2	Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.1.37) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2). [Source:Uniprot/SWISSPROT;Acc:Q9Y2U5]	RussLampel
ENSG00000163131	CTSS	Cathepsin S precursor (EC 3.4.22.27). [Source:Uniprot/SWISSPROT;Acc:P25774]	RussLampel
ENSG00000075673	ATP12A	Potassium-transporting ATPase alpha chain 2 (EC 3.6.3.10) (Proton pump) (Non-gastric H(+)/K(+) ATPase alpha subunit). [Source:Uniprot/SWISSPROT;Acc:P54707]	RussLampel
ENSG00000155111	CDC2L6	Cell division cycle 2-like protein kinase 6 (EC 2.7.1.37) (CDC2- related protein kinase 6) (Death-preventing kinase) (Cyclin-dependent kinase 11). [Source:Uniprot/SWISSPROT;Acc:Q9BWU1]	RussLampel
ENSG00000167360	OR51Q1	Olfactory receptor 51Q1. [Source:Uniprot/SWISSPROT;Acc:Q8NH59]	RussLampel
ENSG00000141298	SSH2	slingshot 2 [Source:RefSeq_peptide;Acc:NP_203747]	RussLampel
ENSG00000139151	PLCZ1	phospholipase C, zeta 1 [Source:RefSeq_peptide;Acc:NP_149114]	RussLampel
ENSG00000101049	SGK2	Serine/threonine-protein kinase Sgk2 (EC 2.7.1.37) (Serum/glucocorticoid regulated kinase 2). [Source:Uniprot/SWISSPROT;Acc:Q9HBY8]	RussLampel
ENSG00000158731	O10J6_HUMAN	Olfactory receptor 10J6. [Source:Uniprot/SWISSPROT;Acc:Q8NGY7]	RussLampel
ENSG00000182872	RBM10	RNA-binding protein 10 (RNA binding motif protein 10) (DXS8237E). [Source:Uniprot/SWISSPROT;Acc:P98175]	RussLampel
ENSG00000171435	KSR2	Kinase suppressor of ras-2 (hKSR2). [Source:Uniprot/SWISSPROT;Acc:Q6VAB6]	RussLampel
ENSG00000174292	TNK1	Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.1.112) (CD38 negative kinase 1). [Source:Uniprot/SWISSPROT;Acc:Q13470]	RussLampel
ENSG00000167536	NP_653284.1	N/A	RussLampel
ENSG00000085265	FCN1	Ficolin 1 precursor (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin A) (M-Ficolin). [Source:Uniprot/SWISSPROT;Acc:O00602]	RussLampel
ENSG00000109323	MANBA	Beta-mannosidase precursor (EC 3.2.1.25) (Mannanase) (Mannase). [Source:Uniprot/SWISSPROT;Acc:O00462]	RussLampel
ENSG00000183625	CCR3	C-C chemokine receptor type 3 (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR3) (Eosinophil eotaxin receptor). [Source:Uniprot/SWISSPROT;Acc:P51677]	RussLampel
ENSG00000178961	TNNI3K	TNNI3 interacting kinase [Source:RefSeq_peptide;Acc:NP_057062]	RussLampel
ENSG00000177648	N/A	N/A	RussLampel
ENSG00000031544	NR2E3	Photoreceptor-specific nuclear receptor (Retina-specific nuclear receptor). [Source:Uniprot/SWISSPROT;Acc:Q9Y5X4]	RussLampel
ENSG00000169495	HTRA4	Probable serine protease HTRA4 precursor (EC 3.4.21.-). [Source:Uniprot/SWISSPROT;Acc:P83105]	RussLampel
ENSG00000169313	P2RY12	P2Y purinoceptor 12 (P2Y12) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (ADP-glucose receptor) (ADPG-R) (P2Y(AC)) (P2Y(cyc)) (P2T(AC)) (SP1999). [Source:Uniprot/SWISSPROT;Acc:Q9H244]	RussLampel
ENSG00000050628	PTGER3	Prostaglandin E2 receptor, EP3 subtype (Prostanoid EP3 receptor) (PGE receptor, EP3 subtype) (PGE2-R). [Source:Uniprot/SWISSPROT;Acc:P43115]	RussLampel
ENSG00000185615	PDIA2	Protein disulfide-isomerase A2 precursor (EC 5.3.4.1) (PDIp). [Source:Uniprot/SWISSPROT;Acc:Q13087]	RussLampel
ENSG00000073417	PDE8A	High-affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A (EC 3.1.4.17). [Source:Uniprot/SWISSPROT;Acc:O60658]	RussLampel
ENSG00000166111	NP_061181.1	N/A	RussLampel
ENSG00000171484	OR1B1	Olfactory receptor 1B1 (Olfactory receptor 9-B) (OR9-B). [Source:Uniprot/SWISSPROT;Acc:Q8NGR6]	RussLampel
ENSG00000163898	LIPH	lipase, member H precursor [Source:RefSeq_peptide;Acc:NP_640341]	RussLampel
ENSG00000185231	MC2R	Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Melanocortin-2 receptor) (MC2-R) (Adrenocorticotropin receptor). [Source:Uniprot/SWISSPROT;Acc:Q01718]	RussLampel
ENSG00000108576	SLC6A4	Sodium-dependent serotonin transporter (5HT transporter) (5HTT). [Source:Uniprot/SWISSPROT;Acc:P31645]	RussLampel
ENSG00000102057	KCND1_HUMAN	Potassium voltage-gated channel subfamily D member 1 (Voltage-gated potassium channel subunit Kv4.1). [Source:Uniprot/SWISSPROT;Acc:Q9NSA2]	RussLampel
ENSG00000185250	PPIL6	peptidylprolyl isomerase (cyclophilin)-like 6 [Source:RefSeq_peptide;Acc:NP_775943]	RussLampel
ENSG00000001630	CYP51A1	Cytochrome P450 51A1 (EC 1.14.13.70) (CYPLI) (P450LI) (Sterol 14-alpha demethylase) (Lanosterol 14-alpha demethylase) (LDM) (P450-14DM) (P45014DM). [Source:Uniprot/SWISSPROT;Acc:Q16850]	RussLampel
ENSG00000143322	Q5W0C5_HUMAN	N/A	RussLampel
ENSG00000115425	PECR	Peroxisomal trans-2-enoyl-CoA reductase (EC 1.3.1.38) (TERP) (HPDHase) (pVI-ARL) (2,4-dienoyl-CoA reductase-related protein) (DCR-RP). [Source:Uniprot/SWISSPROT;Acc:Q9BY49]	RussLampel
ENSG00000164220	F2RL2	Proteinase activated receptor 3 precursor (PAR-3) (Thrombin receptor- like 2) (Coagulation factor II receptor-like 2). [Source:Uniprot/SWISSPROT;Acc:O00254]	RussLampel
ENSG00000010810	FYN	Proto-oncogene tyrosine-protein kinase FYN (EC 2.7.1.112) (P59-FYN) (SYN) (SLK). [Source:Uniprot/SWISSPROT;Acc:P06241]	RussLampel
ENSG00000124134	KCNS1	Potassium voltage-gated channel subfamily S member 1 (Voltage-gated potassium channel subunit Kv9.1) (Delayed-rectifier K(+) channel alpha subunit 1). [Source:Uniprot/SWISSPROT;Acc:Q96KK3]	RussLampel
ENSG00000065154	OAT	Ornithine aminotransferase, mitochondrial precursor (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase). [Source:Uniprot/SWISSPROT;Acc:P04181]	RussLampel
ENSG00000115556	PLCD4	phospholipase C, delta 4 [Source:RefSeq_peptide;Acc:NP_116115]	RussLampel
ENSG00000125510	OPRL1	Nociceptin receptor (Orphanin FQ receptor) (Kappa-type 3 opioid receptor) (KOR-3). [Source:Uniprot/SWISSPROT;Acc:P41146]	RussLampel
ENSG00000124732	OR2W1	Olfactory receptor 2W1 (Hs6M1-15). [Source:Uniprot/SWISSPROT;Acc:Q9Y3N9]	RussLampel
ENSG00000174655	N/A	N/A	RussLampel
ENSG00000167191	GPRC5B	G-protein coupled receptor family C group 5 member B precursor (Retinoic acid induced gene 2 protein) (RAIG-2) (A-69G12.1). [Source:Uniprot/SWISSPROT;Acc:Q9NZH0]	RussLampel
ENSG00000186188	GPR120	G-protein coupled receptor 120 (G-protein coupled receptor PGR4) (G- protein coupled receptor GT01). [Source:Uniprot/SWISSPROT;Acc:Q5NUL3]	RussLampel
ENSG00000179477	ALOX12B	Arachidonate 12-lipoxygenase, 12R type (EC 1.13.11.-) (Epidermis-type lipoxygenase 12) (12R-lipoxygenase) (12R-LOX). [Source:Uniprot/SWISSPROT;Acc:O75342]	RussLampel
ENSG00000162769	FLVC1_HUMAN	Feline leukemia virus subgroup C receptor-related protein 1 (Feline leukemia virus subgroup C receptor) (hFLVCR). [Source:Uniprot/SWISSPROT;Acc:Q9Y5Y0]	RussLampel
ENSG00000110811	LEPREL2	gene rich cluster, A isoform 2 [Source:RefSeq_peptide;Acc:NP_062832]	RussLampel
ENSG00000173039	RELA	Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit). [Source:Uniprot/SWISSPROT;Acc:Q04206]	RussLampel
ENSG00000166278	C2	Complement C2 precursor (EC 3.4.21.43) (C3/C5 convertase). [Source:Uniprot/SWISSPROT;Acc:P06681]	RussLampel
ENSG00000053371	AKR7A2	Aflatoxin B1 aldehyde reductase member 2 (EC 1.-.-.-) (AFB1-AR 1) (Aldoketoreductase 7). [Source:Uniprot/SWISSPROT;Acc:O43488]	RussLampel
ENSG00000170128	GPR25	Probable G-protein coupled receptor 25. [Source:Uniprot/SWISSPROT;Acc:O00155]	RussLampel
ENSG00000169026	NP_115595.2	N/A	RussLampel
ENSG00000027644	INSRR	Insulin receptor-related protein precursor (EC 2.7.1.112) (IRR) (IR- related receptor). [Source:Uniprot/SWISSPROT;Acc:P14616]	RussLampel
ENSG00000188327	N/A	N/A	RussLampel
ENSG00000176495	OR5AN1	Olfactory receptor 5AN1. [Source:Uniprot/SWISSPROT;Acc:Q8NGI8]	RussLampel
ENSG00000128052	KDR	Vascular endothelial growth factor receptor 2 precursor (EC 2.7.1.112) (VEGFR-2) (Kinase insert domain receptor) (Protein-tyrosine kinase receptor Flk-1). [Source:Uniprot/SWISSPROT;Acc:P35968]	RussLampel
ENSG00000106113	CRHR2	Corticotropin releasing factor receptor 2 precursor (CRF-R 2) (CRF2) (Corticotropin-releasing hormone receptor 2) (CRH-R 2). [Source:Uniprot/SWISSPROT;Acc:Q13324]	RussLampel
ENSG00000184007	PTP4A2	protein tyrosine phosphatase type IVA, member 2 isoform 2 [Source:RefSeq_peptide;Acc:NP_536317]	RussLampel
ENSG00000177453	NP_699192.1	N/A	RussLampel
ENSG00000155465	SLC7A7	Y+L amino acid transporter 1 (y(+)L-type amino acid transporter 1) (y+LAT-1) (Y+LAT1) (Monocyte amino acid permease 2) (MOP-2). [Source:Uniprot/SWISSPROT;Acc:Q9UM01]	RussLampel
ENSG00000174914	OR9G1	Olfactory receptor 9G1. [Source:Uniprot/SWISSPROT;Acc:Q8NH87]	RussLampel
ENSG00000138109	CYP2C9	Cytochrome P450 2C9 (EC 1.14.13.80) ((R)-limonene 6-monooxygenase) (EC 1.14.13.48) ((S)-limonene 6-monooxygenase) (EC 1.14.13.49) ((S)- limonene 7-monooxygenase) (CYPIIC9) (P450 PB-1) (P450 MP-4/MP-8) (S- mephenytoin 4-hydroxylase) (P-450MP). [Source:Unip	RussLampel
ENSG00000196079	OR1C1	Olfactory receptor 1C1 (Olfactory receptor TPCR27). [Source:Uniprot/SWISSPROT;Acc:Q15619]	RussLampel
ENSG00000179443	Q8NH95_HUMAN	Olfactory receptor (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q96R43]	RussLampel
ENSG00000149305	HTR3B	5-hydroxytryptamine (serotonin) receptor 3B precursor [Source:RefSeq_peptide;Acc:NP_006019]	RussLampel
ENSG00000132485	ZNF265	Zinc finger protein 265 (Zinc finger, splicing). [Source:Uniprot/SWISSPROT;Acc:O95218]	RussLampel
ENSG00000197517	N/A	N/A	RussLampel
ENSG00000176937	OR52R1	Olfactory receptor 52R1. [Source:Uniprot/SWISSPROT;Acc:Q8NGF1]	RussLampel
ENSG00000174667	OR7D4	olfactory receptor, family 7, subfamily D, member 4 [Source:RefSeq_peptide;Acc:NP_001005191]	RussLampel
ENSG00000173580	N/A	N/A	RussLampel
ENSG00000102882	MAPK3	Mitogen-activated protein kinase 3 (EC 2.7.1.37) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase 1) (MAPK 1) (p44-ERK1) (ERT2) (p44-MAPK) (Microtubule- associated protein-2 kinase). [Source:Uniprot/SWISSPROT;	RussLampel
ENSG00000121898	CPXM2	Potential carboxypeptidase-like protein X2 precursor. [Source:Uniprot/SWISSPROT;Acc:Q8N436]	RussLampel
ENSG00000171054	OR13H1	Olfactory receptor 13H1. [Source:Uniprot/SWISSPROT;Acc:Q8NG92]	RussLampel
ENSG00000090376	IRAK3	Interleukin-1 receptor-associated kinase-3 (EC 2.7.1.-) (IRAK-3) (IL-1 receptor-associated kinase M) (IRAK-M). [Source:Uniprot/SWISSPROT;Acc:Q9Y616]	RussLampel
ENSG00000135409	AMHR2	Anti-Muellerian hormone type II receptor precursor (EC 2.7.1.37) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII). [Source:Uniprot/SWISSPROT;Acc:Q16671]	RussLampel
ENSG00000160285	LSS	Lanosterol synthase (EC 5.4.99.7) (Oxidosqualene--lanosterol cyclase) (2,3-epoxysqualene--lanosterol cyclase) (OSC). [Source:Uniprot/SWISSPROT;Acc:P48449]	RussLampel
ENSG00000005381	MPO	Myeloperoxidase precursor (EC 1.11.1.7) (MPO). [Source:Uniprot/SWISSPROT;Acc:P05164]	RussLampel
ENSG00000196791	N/A	N/A	RussLampel
ENSG00000154822	PLCL2	phospholipase C-like 2 [Source:RefSeq_peptide;Acc:NP_055999]	RussLampel
ENSG00000144668	ITGA9	Integrin alpha-9 precursor (Integrin alpha-RLC). [Source:Uniprot/SWISSPROT;Acc:Q13797]	RussLampel
ENSG00000165097	Q8NB78_HUMAN	OTTHUMP00000016077 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5TGV3]	RussLampel
ENSG00000131686	CA6	Carbonic anhydrase VI precursor (EC 4.2.1.1) (Carbonate dehydratase VI) (CA-VI) (Secreted carbonic anhydrase) (Salivary carbonic anhydrase). [Source:Uniprot/SWISSPROT;Acc:P23280]	RussLampel
ENSG00000183840	GPR39	Putative G-protein coupled receptor 39. [Source:Uniprot/SWISSPROT;Acc:O43194]	RussLampel
ENSG00000141551	CSNK1D	Casein kinase I, delta isoform (EC 2.7.1.-) (CKI-delta) (CKId). [Source:Uniprot/SWISSPROT;Acc:P48730]	RussLampel
ENSG00000132356	PRKAA1	5'-AMP-activated protein kinase, catalytic alpha-1 chain (EC 2.7.1.-) (AMPK alpha-1 chain). [Source:Uniprot/SWISSPROT;Acc:Q13131]	RussLampel
ENSG00000184055	Q8NH46_HUMAN	Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NH46]	RussLampel
ENSG00000181698	OR5T1	olfactory receptor, family 5, subfamily T, member 1 [Source:RefSeq_peptide;Acc:NP_001004745]	RussLampel
ENSG00000174556	N/A	N/A	RussLampel
ENSG00000124570	SERPINB6	Placental thrombin inhibitor (Cytoplasmic antiproteinase) (CAP) (Protease inhibitor 6) (PI-6) (Serpin B6). [Source:Uniprot/SWISSPROT;Acc:P35237]	RussLampel
ENSG00000100300	BZRP	Peripheral-type benzodiazepine receptor (PBR) (PKBS) (Mitochondrial benzodiazepine receptor). [Source:Uniprot/SWISSPROT;Acc:P30536]	RussLampel
ENSG00000187474	FPRL2	FMLP-related receptor II (FMLP-R-II) (Formylpeptide receptor-like 2). [Source:Uniprot/SWISSPROT;Acc:P25089]	RussLampel
ENSG00000176205	OR4D10	olfactory receptor, family 4, subfamily D, member 10 [Source:RefSeq_peptide;Acc:NP_001004705]	RussLampel
ENSG00000163393	SLC22A15	solute carrier family 22 (organic cation transporter), member 15 [Source:RefSeq_peptide;Acc:NP_060890]	RussLampel
ENSG00000145439	NP_116172.2	carbonic reductase 4 [Source:RefSeq_peptide;Acc:NP_116172]	RussLampel
ENSG00000130720	FIBCD1	fibrinogen C domain containing 1 [Source:RefSeq_peptide;Acc:NP_116232]	RussLampel
ENSG00000136943	CTSL2	Cathepsin L2 precursor (EC 3.4.22.43) (Cathepsin V) (Cathepsin U). [Source:Uniprot/SWISSPROT;Acc:O60911]	RussLampel
ENSG00000177669	Q96T53_HUMAN	N/A	RussLampel
ENSG00000184611	KCNH7	Potassium voltage-gated channel subfamily H member 7 (Voltage-gated potassium channel subunit Kv11.3) (Ether-a-go-go related gene potassium channel 3) (HERG-3) (Ether-a-go-go related protein 3) (Eag related protein 3). [Source:Uniprot/SWISSPROT;Acc:Q9NS40	RussLampel
ENSG00000127564	PKMYT1	Membrane-associated tyrosine-and threonine-specific cdc2-inhibitory kinase (EC 2.7.1.37) (Myt1 kinase). [Source:Uniprot/SWISSPROT;Acc:Q99640]	RussLampel
ENSG00000181723	Q8NGG1_HUMAN	Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NGG1]	RussLampel
ENSG00000167553	TBA6_HUMAN	Tubulin alpha-6 chain (Alpha-tubulin 6). [Source:Uniprot/SWISSPROT;Acc:Q9BQE3]	RussLampel
